Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
357664,Because of Winn-Dixie,Kate DiCamillo,"DiCamillo, Kate",,"=""0763616052""","=""9780763616052""",4,4.09,Candlewick Press,Paperback,182,2001,2000,,2010/10/22,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",5,4.11,William Morrow Paperbacks,Paperback,176,2006,2002,,2010/10/22,,,read,,,,1,0
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",5,3.84,Simon Pulse,Paperback,370,2005,2005,,2010/10/22,,,read,,,,1,0
439288,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""014131088X""","=""9780141310886""",4,4.04,Puffin,Paperback,202,2001,1999,,2010/10/22,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""""","=""""",5,3.85,Simon Pulse,Paperback,425,2005,2005,,2010/10/22,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",3,4.12,Ember,Paperback,208,2006,1993,,2010/10/22,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",5,4.38,HarperCollins Publishers,Hardcover,64,1964,1964,,2010/10/22,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.15,Penguin,Paperback,532,2003,1847,,2010/10/22,to-read,to-read (#1),to-read,,,,0,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",2,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2010/10/22,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",3,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2010/10/22,,,read,,,,1,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",4,4.33,Harpercollins Childrens Books,Hardcover,176,2002,1974,,2010/10/22,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.93,Scribner,Paperback,180,1925,1925,,2010/10/22,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",3,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2010/10/22,,,read,,,,1,0
